GENE.ID	cdc28_0	cdc28_10	cdc28_20	cdc28_30	cdc28_40	cdc28_50	cdc28_60	cdc28_70	cdc28_80	cdc28_90	cdc28_100	cdc28_110	cdc28_120	cdc28_130	cdc28_140	cdc28_150	cdc28_160
TIME	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160
YDR132C	0.19	0.3	-0.29	0.29	-0.31	0.23	0.2	-0.08	0.19	-0.51	0	-0.31	0.11	-0.02	0.2	0.36	-0.54
YMR012W	-0.15	-0.15	-0.04	-0.28	-0.39	0.03	0.22	0.04	-0.15	0.37	0.47	-0.1	-0.09	-0.04	-0.04	0.07	0.19
YLR214W	0.38	0.3	-0.68	-0.52	-0.43	-0.13	-0.17	0.26	-0.03	-0.34	-0.01	-0.2	0.1	-0.02	0.45	0.4	0.63
YLR116W	0.17	0.06	-0.21	0.19	0.33	0.44	0.46	0.38	-0.15	-0.03	0.04	-0.42	-0.15	0.02	0.03	-0.51	-0.61
YDR203W	0.85	-0.1	-0.56	-0.31	-0.43	0	-0.34	0.17	0.4	-0.37	0.15	0.24	0.24	0.17	-0.12	-0.02	0.02
YEL059C-A	0.45	0.2	0.06	0.1	-0.21	-0.08	-0.27	-0.01	-0.29	0.41	-0.08	-0.22	-0.27	-0.045	-0.3	0.25	0.26
YHR046C	0.37	0.31	0.07	-0.14	-0.69	-0.1	0.21	0.05	0.24	-0.16	-0.18	-0.09	0.16	-0.1	0.05	0.05	0.05
YJL053W	0.38	-0.14	-0.14	0.17	-0.21	0.04	-0.06	0.07	0	-0.23	0.07	-0.01	0.12	-0.005	-0.04	-0.14	0.12
YBL021C	-0.25	-0.09	0.34	-0.01	0.16	-0.11	-0.22	0.02	-0.22	-0.09	-0.01	0.04	-0.02	-0.01	0.01	0.27	0.17
YHR034C	0.89	-0.02	-0.22	0.02	0.17	0.37	0.15	0.17	0.04	-0.15	-0.4	-0.15	-0.02	0.04	-0.23	-0.38	-0.27
YMR167W	0.15	-0.26	-0.39	-0.68	-0.68	0.01	0.37	-0.53	0.18	0.34	0.28	0.26	0.19	-0.15	0.165	0.26	0.63
YPL202C	0.22	-0.18	-0.03	0.04	0.26	0.37	0.19	0.24	0.09	-0.4	-0.3	-0.23	-0.08	-0.13	0.005	-0.22	0.18
YNL299W	-0.05	0.49	-0.17	-0.3	0.41	0.14	0.33	0.06	0.06	-0.28	-0.46	-0.11	-0.03	0.005	0.04	0.15	-0.28
YJL091C	0.83	-0.11	0.66	0.62	-0.08	-0.02	-0.22	-0.52	-0.05	-1.32	-0.82	0.54	0.41	0.22	-0.13	-0.05	-0.05
YPR129W	-0.01	-0.43	0.45	0.44	0.44	0.32	0	0.18	-0.05	0.14	-0.18	-0.64	-0.03	-0.005	0.1	-0.66	-0.07
YNL116W	-0.3	-0.58	-0.07	0.35	0.47	0.26	0.4	0.23	0.22	-0.17	-0.43	-0.44	0.19	-0.05	-0.09	-0.05	-0.05
YLR415C	0.11	-0.24	0.18	0	-0.34	-0.24	-0.24	0.48	-0.39	-0.34	-0.29	-0.24	0.08	0.59	0.48	0.18	0.22
YLL033W	0.41	-0.35	-0.75	-0.37	0.26	0.07	0.3	0.13	0.31	-0.51	-0.66	0.03	0.28	0.26	0.13	0.33	0.13
YPL230W	0.61	-0.57	0.29	0.64	0.19	-0.04	-0.22	-0.08	-0.34	-0.81	-0.22	0.11	0.11	0.12	0.09	0.22	-0.1
YGR090W	-0.66	0.49	0.5	-0.06	0.16	0.12	-0.04	-0.08	-0.03	-0.1	-0.09	0.15	-0.02	-0.13	-0.05	-0.07	-0.16
YGR123C	-0.58	0.2	0.2	0.29	-0.17	-0.08	0.17	0.39	0.2	0.25	0.01	-0.44	-0.24	0.04	0.07	-0.11	-0.14
YHR047C	-0.59	-0.42	-0.28	-0.21	0.03	0.03	-0.03	-0.07	0.25	0.11	0.25	0.15	0.11	0.07	0.32	0.18	0.16
YDR018C	1.45	1.06	0.53	0.53	0.11	-0.12	-0.06	-0.6	-0.44	0	0.18	0	-0.72	-0.39	-0.44	-0.29	-0.86
YPL256C	-0.1	0.85	1.47	0.54	0.03	-0.15	-0.28	-0.5	-1.57	-0.18	0.52	0.86	-0.1	-0.1	-0.39	-0.05	-1.05
