GENE.ID	GENE.NAME	cdc28_0	cdc28_10	cdc28_20	cdc28_30	cdc28_40	cdc28_50	cdc28_60	cdc28_70	cdc28_80	cdc28_90	cdc28_100	cdc28_110	cdc28_120	cdc28_130	cdc28_140	cdc28_150	cdc28_160
YDR132C	YDR132C	0.19	0.3	-0.29	0.29	-0.31	0.23	0.2	-0.08	0.19	-0.51	0	-0.31	0.11	-0.02	0.2	0.36	-0.54
YMR012W	YMR012W	-0.15	-0.15	-0.04	-0.28	-0.39	0.03	0.22	0.04	-0.15	0.37	0.47	-0.1	-0.09	-0.04	-0.04	0.07	0.19
YLR214W	YLR214W	0.38	0.3	-0.68	-0.52	-0.43	-0.13	-0.17	0.26	-0.03	-0.34	-0.01	-0.2	0.1	-0.02	0.45	0.4	0.63
YLR116W	YLR116W	0.17	0.06	-0.21	0.19	0.33	0.44	0.46	0.38	-0.15	-0.03	0.04	-0.42	-0.15	0.02	0.03	-0.51	-0.61
YDR203W	YDR203W	0.85	-0.1	-0.56	-0.31	-0.43	0	-0.34	0.17	0.4	-0.37	0.15	0.24	0.24	0.17	-0.12	-0.02	0.02
YEL059C-A	YEL059C-A	0.45	0.2	0.06	0.1	-0.21	-0.08	-0.27	-0.01	-0.29	0.41	-0.08	-0.22	-0.27	-0.045	-0.3	0.25	0.26
YHR046C	YHR046C	0.37	0.31	0.07	-0.14	-0.69	-0.1	0.21	0.05	0.24	-0.16	-0.18	-0.09	0.16	-0.1	0.05	0.05	0.05
YJL053W	YJL053W	0.38	-0.14	-0.14	0.17	-0.21	0.04	-0.06	0.07	0	-0.23	0.07	-0.01	0.12	-0.005	-0.04	-0.14	0.12
YBL021C	YBL021C	-0.25	-0.09	0.34	-0.01	0.16	-0.11	-0.22	0.02	-0.22	-0.09	-0.01	0.04	-0.02	-0.01	0.01	0.27	0.17
YHR034C	YHR034C	0.89	-0.02	-0.22	0.02	0.17	0.37	0.15	0.17	0.04	-0.15	-0.4	-0.15	-0.02	0.04	-0.23	-0.38	-0.27
