classa	classb	classc	des_id	pathway_id
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00844	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01810	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00850	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00895	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K03841	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01623	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01803	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00134	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00927	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01834	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K15634	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K15633	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01689	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00873	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01006	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00161	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00162	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00627	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00382	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00016	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01568	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00121	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K18857	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00001	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00002	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00128	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K14085	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01895	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01913	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01785	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01835	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01792	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K03103	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K00131	ko00010
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:osa00010]	K01610	ko00010
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01647	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01648	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01681	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00031	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00030	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00164	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00658	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00382	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01899	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01900	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00234	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00235	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00236	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K25801	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01679	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00025	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00026	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K01610	ko00020
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:osa00020]	K00161	ko00020
