gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0100100,1801,2108,1445,1890,1484,1648,1111,879
Os01g0100200,15,20,4,0,62,128,17,31
Os01g0100300,0,0,0,0,3,2,0,6
Os01g0100400,105,120,156,163,367,419,236,133
Os01g0100466,0,0,0,0,4,0,0,0
Os01g0100500,2150,2419,1957,2300,2568,2478,1864,1270
Os01g0100600,1204,1085,1760,1646,1649,1593,1452,983
Os01g0100650,0,0,0,0,0,0,0,0
Os01g0100700,495,709,745,1426,2357,2289,1887,2077
Os01g0100800,1017,883,945,963,784,910,640,695
Os01g0100900,3420,4336,3233,5134,4847,4810,2490,2165
Os01g0101150,17,14,31,52,53,115,59,2
Os01g0101175,1,4,6,5,0,0,0,0
Os01g0101200,6398,6240,8041,8053,2892,3605,15251,15369
Os01g0101300,739,957,573,555,581,661,322,263
Os01g0101600,6617,5722,7961,7316,6978,7083,4285,2028
Os01g0101700,21068,20879,10472,8138,598,635,944,1020
Os01g0101800,138,166,43,105,4,0,0,0
Os01g0101850,0,0,0,0,0,0,0,0
Os01g0101900,0,0,2,0,0,3,0,0
Os01g0102000,23,19,14,0,4,25,10,3
Os01g0102300,4645,5802,2140,1991,1195,1039,1720,2784
Os01g0102400,45,67,0,25,0,0,5,11
Os01g0102500,595,708,1487,1190,875,955,574,532
Os01g0102600,5910,6134,8131,7806,4687,5358,5659,8028
Os01g0102700,1128,1176,1599,2048,1983,2640,1636,1273
Os01g0102800,457,465,1095,1101,838,966,418,397
Os01g0102850,146,179,123,179,121,256,563,570
Os01g0102900,5389,6848,21023,16914,209074,251316,530897,684839
Os01g0103000,8,0,45,54,416,502,719,824
Os01g0103050,10,0,4,0,49,57,109,74
Os01g0103075,0,0,207,75,0,32,0,0
Os01g0103100,1912,1922,3445,3702,2113,2087,1410,754
Os01g0103400,253,162,198,327,120,148,138,240
Os01g0103600,932,938,1586,1867,2174,2759,1176,793
Os01g0103650,0,0,0,0,0,0,0,0
Os01g0103700,195,85,281,235,440,553,236,166
Os01g0103800,875,1175,1664,1674,1388,1420,1100,969
Os01g0103900,35,19,35,36,17,13,6,14
Os01g0104000,1305,1713,1489,1675,1225,1332,823,855
Os01g0104100,6880,7888,5738,5845,3416,3569,3044,3326
Os01g0104200,6,9,13,11,10,3,8,20
Os01g0104350,344,495,222,201,599,526,855,1380
Os01g0104400,14230,16313,7411,7705,4684,5284,8666,10867
Os01g0104500,0,0,0,0,0,0,0,0
Os01g0104600,3208,3087,3312,3780,2372,2551,1406,1337
Os01g0104800,253,372,585,777,962,1371,742,430
Os01g0104900,387,399,1027,602,1094,946,160,320
Os01g0105300,25,2,2,11,85,68,34,9
Os01g0105400,816,770,1158,1010,1198,1321,922,690
Os01g0105700,14,9,6,22,9,17,16,0
Os01g0105800,275,293,405,509,202,268,183,260
Os01g0105900,2436,2163,2297,2560,2126,2464,1786,1708
Os01g0106200,2632,3101,2631,2772,1833,2292,1944,1381
Os01g0106300,10,4,92,46,587,472,89,107
Os01g0106400,49,92,36,68,657,855,663,631
Os01g0106500,117,102,95,237,213,261,376,367
Os01g0106600,459,612,150,295,523,320,105,136
